2021-11-18 09:41:11.2447|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-18 13:03:39.4466|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-18 13:03:39.4957|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-18 13:03:39.5067|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\SHIVA KUMAR\source\repos\BookStore\BookStore |url: |action: |
2021-11-18 13:18:02.7379|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-18 13:18:02.7892|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-18 13:18:02.8001|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\SHIVA KUMAR\source\repos\BookStore\BookStore |url: |action: |
2021-11-18 15:24:00.8862|0|INFO|BookStore.Controller.UserController|durgachandrasekhar3@gmail.comIs trying to login |url: |action: |
2021-11-18 15:24:01.9725|0|INFO|BookStore.Controller.UserController|durgachandrasekhar3@gmail.com Incorrect Password |url: |action: |
2021-11-18 15:24:12.6428|0|INFO|BookStore.Controller.UserController|durgachandrasekhar3@gmail.comIs trying to login |url: |action: |
2021-11-18 15:24:13.5616|0|INFO|BookStore.Controller.UserController|durgachandrasekhar3@gmail.com logged in successfully and the token generated is  |url: |action: |
2021-11-18 16:30:59.0092|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-18 16:30:59.0854|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-18 16:30:59.0927|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\SHIVA KUMAR\source\repos\BookStore\BookStore |url: |action: |
